EmployeeID,Year,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobLevel,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,retirementType,resignationReason,Attrition
1,2015,51,Travel_Rarely,Sales,6,2,Life Sciences,1,Married,131160,1,11,0,1,6,1,0,0,3,4,2,3,Not Applicable,Not Applicable,0
2,2015,31,Travel_Frequently,Research & Development,10,1,Life Sciences,1,Single,41890,0,23,1,6,3,5,1,4,3,2,4,2,Resignation,Others,1
3,2015,32,Travel_Frequently,Research & Development,17,4,Other,4,Married,193280,1,15,3,5,2,5,0,3,2,2,1,3,Not Applicable,Not Applicable,0
4,2015,38,Non-Travel,Research & Development,2,5,Life Sciences,3,Married,83210,3,11,3,13,5,8,7,5,4,4,3,2,Not Applicable,Not Applicable,0
5,2015,32,Travel_Rarely,Research & Development,10,1,Medical,1,Single,23420,4,12,2,9,2,6,0,4,4,1,3,3,Not Applicable,Not Applicable,0
6,2015,46,Travel_Rarely,Research & Development,8,3,Life Sciences,4,Married,40710,3,13,0,28,5,7,7,7,3,2,2,3,Not Applicable,Not Applicable,0
7,2015,28,Travel_Rarely,Research & Development,11,2,Medical,2,Single,58130,2,20,1,5,2,0,0,0,1,3,1,3,Resignation,Stress,1
8,2015,29,Travel_Rarely,Research & Development,18,3,Life Sciences,2,Married,31430,2,22,3,10,2,0,0,0,1,2,3,3,Not Applicable,Not Applicable,0
9,2015,31,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Married,20440,0,21,0,10,2,9,7,8,2,4,3,3,Not Applicable,Not Applicable,0
10,2015,25,Non-Travel,Research & Development,7,4,Medical,4,Divorced,134640,1,13,1,6,2,6,1,5,2,1,3,3,Not Applicable,Not Applicable,0
11,2015,45,Travel_Rarely,Research & Development,17,2,Medical,2,Married,79910,0,13,2,21,2,20,4,10,3,4,3,2,Not Applicable,Not Applicable,0
12,2015,36,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Married,33770,0,12,2,16,2,15,10,11,3,4,3,3,Not Applicable,Not Applicable,0
13,2015,55,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Single,55380,0,17,0,37,2,36,4,13,4,1,3,3,Not Applicable,Not Applicable,0
14,2015,47,Non-Travel,Research & Development,1,1,Medical,1,Married,57620,1,11,2,10,4,10,9,9,1,2,2,2,Resignation,Others,1
15,2015,28,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Married,25920,1,14,0,5,2,5,0,4,4,4,2,3,Not Applicable,Not Applicable,0
16,2015,37,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Married,53460,4,11,0,7,2,5,0,1,3,4,4,3,Not Applicable,Not Applicable,0
17,2015,21,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Single,42130,1,12,3,3,3,3,1,0,4,3,4,2,Not Applicable,Not Applicable,0
18,2015,37,Non-Travel,Research & Development,1,3,Medical,2,Divorced,41270,2,13,1,15,2,5,0,2,1,4,3,3,Not Applicable,Not Applicable,0
19,2015,35,Travel_Rarely,Sales,7,4,Life Sciences,1,Divorced,24380,7,16,0,10,5,7,6,2,2,2,2,2,Not Applicable,Not Applicable,0
20,2015,38,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Divorced,68700,1,11,1,8,5,8,7,7,1,1,3,3,Not Applicable,Not Applicable,0
21,2015,26,Travel_Frequently,Research & Development,1,4,Other,2,Divorced,104470,1,18,0,6,3,6,1,4,3,2,1,3,Not Applicable,Not Applicable,0
